                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5249,                 8.6952,                 2.5178,                0.01288,                0.38682,                0.02862,                0.02191,                 2.8824,                 7.9211,                 2.0929,               9.09e-05,               9.09e-05,               9.09e-05
                      2,                 3.2675,                  7.498,                 2.3374,                0.01387,                0.52988,                0.08421,                0.05539,                 2.7561,                 7.7616,                 2.0476,             0.00019026,             0.00019026,             0.00019026
                      3,                 3.1986,                 6.1189,                  2.334,                0.01445,                 0.4789,                  0.084,                0.05688,                 2.8051,                 7.6404,                 2.1073,             0.00028896,             0.00028896,             0.00028896
                      4,                 3.2764,                 5.1555,                 2.4356,                0.01227,                0.43536,                0.09248,                0.06063,                 2.8011,                 7.6406,                  2.149,               0.000387,               0.000387,               0.000387
                      5,                 3.2317,                 4.4572,                 2.3971,                0.01199,                0.41155,                0.12596,                0.07713,                 2.7608,                 7.3663,                 2.1406,             0.00048438,             0.00048438,             0.00048438
                      6,                 3.0821,                   4.09,                 2.3481,                 0.0165,                 0.5933,                 0.2127,                0.13666,                  2.692,                 6.7452,                  2.141,              0.0005811,              0.0005811,              0.0005811
                      7,                 3.0437,                 3.8467,                 2.3477,                0.01397,                0.58807,                0.24225,                0.16181,                 2.7652,                 6.2191,                 2.2148,             0.00067716,             0.00067716,             0.00067716
                      8,                 2.9533,                 3.6366,                 2.2953,                0.86145,                0.12288,                0.30183,                 0.2061,                 2.6966,                 5.7173,                 2.1314,             0.00077256,             0.00077256,             0.00077256
                      9,                 2.9762,                 3.5811,                 2.3674,                0.78766,                0.18375,                0.29228,                0.19121,                 2.7525,                 5.3934,                 2.1768,              0.0008673,              0.0008673,              0.0008673
                     10,                 2.9683,                 3.4345,                 2.2956,                0.64013,                0.25655,                0.30804,                0.21665,                 2.7581,                 4.5786,                 2.1917,               0.000882,               0.000882,               0.000882
                     11,                 2.8992,                 3.4089,                 2.3171,                0.69088,                0.25558,                0.34704,                0.23022,                  2.743,                 4.2929,                 2.1744,               0.000879,               0.000879,               0.000879
                     12,                 2.8614,                 3.2301,                 2.2802,                 0.7261,                0.27361,                0.33503,                0.21367,                 2.8175,                 3.9521,                 2.2504,               0.000876,               0.000876,               0.000876
                     13,                 2.8399,                  3.149,                 2.2913,                0.75746,                0.29336,                0.36747,                0.23737,                 2.8428,                  3.727,                 2.2702,               0.000873,               0.000873,               0.000873
                     14,                 2.8508,                 3.1138,                 2.2593,                0.67184,                0.32767,                0.36485,                0.23366,                 2.7557,                 3.2357,                   2.23,                0.00087,                0.00087,                0.00087
