                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2019,                 0.7807,                 1.0644,                0.64133,                0.66477,                0.70498,                0.46956,                 1.2478,                0.76178,                 1.1147,             0.00084781,             0.00084781,             0.00084781
                     36,                 1.1686,                0.75337,                 1.0609,                0.82027,                0.64108,                0.73141,                0.48272,                 1.2581,                0.77308,                  1.125,             0.00084601,             0.00084601,             0.00084601
                     37,                 1.1828,                 0.7507,                 1.0513,                0.80325,                0.64743,                0.69221,                0.46399,                 1.2294,                0.77168,                 1.1069,             0.00084421,             0.00084421,             0.00084421
                     38,                 1.1664,                0.73868,                 1.0439,                0.76028,                0.64943,                0.70521,                 0.4768,                 1.2588,                0.76467,                  1.107,             0.00084241,             0.00084241,             0.00084241
                     39,                 1.1503,                0.73361,                 1.0401,                0.86352,                0.59199,                0.71724,                0.47237,                 1.2624,                0.77071,                 1.1102,             0.00084061,             0.00084061,             0.00084061
                     40,                  1.156,                0.73344,                 1.0486,                0.71405,                0.69861,                 0.7252,                0.47991,                 1.2288,                0.77339,                 1.0916,             0.00083881,             0.00083881,             0.00083881
                     41,                 1.1625,                0.72926,                 1.0475,                0.72213,                0.67841,                 0.7101,                0.47529,                  1.248,                0.77396,                 1.1056,             0.00083701,             0.00083701,             0.00083701
                     42,                 1.1585,                0.72753,                 1.0581,                0.67224,                0.67055,                0.66932,                0.45153,                 1.2593,                0.77813,                 1.1137,             0.00083521,             0.00083521,             0.00083521
                     43,                 1.1386,                0.71742,                 1.0389,                0.82358,                0.64644,                0.71858,                0.48985,                 1.2445,                0.73851,                 1.1051,             0.00083341,             0.00083341,             0.00083341
                     44,                 1.1583,                0.71653,                  1.038,                0.83566,                0.71751,                0.74061,                0.50125,                 1.2341,                0.73696,                  1.106,             0.00083161,             0.00083161,             0.00083161
                     45,                  1.139,                0.72009,                 1.0439,                0.87288,                0.66452,                0.74848,                0.50774,                 1.2378,                0.74837,                 1.0964,             0.00082981,             0.00082981,             0.00082981
                     46,                 1.1096,                0.69947,                 1.0407,                0.73658,                0.71031,                0.72643,                0.48686,                 1.2323,                0.71903,                 1.0969,             0.00082801,             0.00082801,             0.00082801
                     47,                 1.1068,                0.70065,                 1.0294,                0.79045,                0.66969,                0.70983,                0.48615,                 1.2226,                0.73817,                 1.1044,             0.00082621,             0.00082621,             0.00082621
